"MonthYear","Records"
"7-2014",339057
"8-2014",337677
"9-2014",332602
"10-2014",327849
"11-2014",303948
"12-2014",325355
"1-2015",311182
"2-2015",284470
"3-2015",313665
"4-2015",305815
"5-2015",312181
"6-2015",314757
"7-2015",336869
"8-2015",335885
"9-2015",331542
"10-2015",323570
"11-2015",304502
"12-2015",320458
